program_name,description,deadline,funding_low,funding_high,eligibility,interests,application_link,url,source,scraped_at
Grant for Literary Publishers Supporting Canadian Voices in Ontario (Canada),"View Full Grant Details This grant opportunity supports the long-term development and sustainability of publishing organizations that are committed to delivering literary and cultural content to the public. Designed to provide operational support rather than one-time project funding, this initiative is ideal for publishers seeking to enhance their core activities, maintain editorial independence, and contribute meaningfully to the arts and cultural ecosystem. The grant is open to select publishing organizations located within a specific Canadian province, focusing on those with a proven track record of producing high-quality literary or artistic works. Eligible applicants typically include established, professional publishing entities that serve the public interest and have demonstrated financial responsibility and consistent publishing output over time. This opportunity is especially beneficial to organizations that publish content in book or magazine formats, with a strong emphasis on editorial excellence and public access. The intent is to help sustain the general operations of organizations that enrich the cultural landscape through storytelling, journalism, and other creative outputs. While eligibility is restricted to nonprofit or for-profit publishers that meet specific operational and financial benchmarks, individual writers and informal collectives are not eligible for this support. Applicants must demonstrate professional governance structures and the ability to provide public-facing content. Funding levels vary and are determined by the size and scope of the organization, with financial reporting requirements scaling according to the grant amount requested. The support may cover a portion of day-to-day operations, staff salaries, marketing, production costs, and outreach efforts. Applications are accepted annually, and decisions are informed by peer assessment processes. This grant presents an important opportunity for cultural publishers to receive sustained funding that enables them to focus on creative excellence and public service. It’s especially relevant for those looking to expand access to diverse voices and build lasting connections with readers across communities. View Full Grant Details",Ongoing,,Open,"Arts, Culture, History & Humanities; Business & Commerce; Community/Economic Development; Other; For profit corporations other than small businesses","Arts, Culture, History & Humanities; Business & Commerce; Community/Economic Development; Other; For profit corporations other than small businesses",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74129/grant-for-literary-publishers-supporting-canadian-voices?page=3,The Grant Portal,2025-10-04T17:45:48.814284
"Grant Supporting Social, Environmental & Spiritual Initiatives in Ontario (Canada)","View Full Grant Details Twice a year—typically in late winter and summer—this foundation invites nonprofits, charities, Indigenous groups, and individual applicants within Canada to express interest. Grants are organized into three broad focus areas: civic engagement for social change, environmental initiatives, and housing. Each funding stream follows a two-stage process: first submit a brief Letter of Inquiry; a selection committee reviews these and invites a subset to submit full proposals. Final decisions are made by the board after committee recommendations, typically within about three months of the full‑application deadline. Funds are generally disbursed following board approval. Prioritizes groups dedicated to justice‑oriented change, climate justice, Indigenous collaboration, affordable housing, adult education, and systems‑level impact. It favors flexible, trust‑based relationships—supporting multi‑year grants, collaborative projects, and initiatives led by equity‑deserving communities—over rigid, short‑term funding models. Typical grant sizes average around $25,000, though awards may reach up to $50,000, with total annual giving often surpassing $2 million, distributed across dozens of grantees. Recipients may apply funds toward core operational costs tied to project delivery, capacity building, public engagement, policy development, or advocacy work—so long as funding never covers deficits, capital campaigns, emergency appeals, or purely commercial enterprises. Geographically, the program is limited to work within Canada, with special attention paid to partnerships involving First Nations, Métis, Inuit, immigrant or refugee communities, BIPOC-led entities, and cross-sector coalitions. Overall, this opportunity is ideal for Canadian nonprofit and community groups—or even individuals—seeking meaningful, systems-focused investments to support inclusive civic engagement, environmental justice, housing affordability, or educational equity. With grants ranging from mid-five figures into the low‑six‑figure level, this foundation champions long-term, trust-based support rooted in collaboration and social change. View Full Grant Details",Ongoing,"$10,000","$50,000",Climate Change; Education; Environment; Homeless; Housing; Non-Profit Support Services; Social Justice; Non-Profit Organizations with 501(c)(3) designation,Climate Change; Education; Environment; Homeless; Housing; Non-Profit Support Services; Social Justice; Non-Profit Organizations with 501(c)(3) designation,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74128/grant-supporting-social-environmental-spiritual-initiatives?page=3,The Grant Portal,2025-10-04T17:45:53.843215
Grants to Support Community-focused Projects Across Canada in Ontario (Canada),"View Full Grant Details There is a unique grant opportunity currently open that supports community-focused projects across Canada. Designed to benefit local initiatives that inspire positive change, this grant offers up to $500 to help recipients raise awareness, increase visibility, or support their outreach efforts. While the amount may seem modest, the impact can be significant, especially for organizations or groups working to build community connections or provide meaningful services. This opportunity is available to a broad range of applicants, including nonprofit organizations, registered charities, community groups, and sometimes even individuals or informal teams with a well-developed idea that serves the public good. The grant can be used to support events, awareness campaigns, educational efforts, or community-based programming. Small businesses with a clear community engagement mission may also be considered in some cases, though the primary focus remains on nonprofit and charitable activities. Available throughout all Canadian provinces and territories, this grant emphasizes creativity and grassroots efforts. Its purpose is to uplift those who are doing meaningful work in their local areas, especially where resources may be limited. Projects that foster community engagement, promote volunteerism, support wellness, or strengthen neighborhood bonds are especially encouraged to apply. Applicants benefit not just from the financial value of the grant but from the tools it provides to help amplify their message. Whether it’s through customized materials for a community walk, promotional support for a fundraiser, or visibility at a local event, the goal is to help groups extend their reach and deepen their impact. This is a friendly, approachable funding option ideal for small-scale initiatives seeking a little extra support to make a big difference in the lives of others. View Full Grant Details",Ongoing,$500,$500,"Education; Employment, Labor & Training Workforce; Faith Based; Non-Profit Support Services; Quality of Life; Independent Schools; Non-Profit Organizations with 501(c)(3) designation","Education; Employment, Labor & Training Workforce; Faith Based; Non-Profit Support Services; Quality of Life; Independent Schools; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74113/grants-to-support-community-focused-projects-across-canada?page=3,The Grant Portal,2025-10-04T17:45:58.382992
Grants for Community-Led Innovation and Early-Stage Projects in Ontario (Canada),"View Full Grant Details This grant is available across Ontario and offers flexible funding to help community-focused nonprofits, Indigenous groups, small municipalities, and collaboratives build their future. The awards range from $10,000 to $100,000, and projects can span 6 to 12 months. Intended to strengthen organizational capacity, the funds support initiatives such as strategic planning, piloting new programs, adapting technology, and enhancing staff or volunteer skills. Organizations can use the grant to invest in digital upgrades—like new software, hardware, or cloud solutions—aligning with priorities to foster innovation and resilience. Applicants must be not-for-profit entities operating in one of four sectors: sports and recreation, arts and culture, environment, or human and social services. They should have show sound financial health, and demonstrate organizational readiness. Eligible groups include charities, incorporated nonprofits, First Nations, small municipalities (population under 20,000), library boards, Métis and Inuit organizations, and religious charities offering non‑religious community services. Larger municipalities and for-profit organizations are not eligible. The grant cycle opens in summer, with a deadline in August. The goal is to enable organizations to test ideas, improve operations, and deliver more impactful community programs. Previously, this organization has invested around $16 million across approximately 245 seed grants, aiding groups in areas like community connections, youth development, arts engagement, active living, environmental restoration, and economic stability. In short, this opportunity is perfect for smaller Ontario nonprofits, Indigenous communities, or municipal agencies aiming to lay the groundwork for future programs—whether through planning, capacity building, technology upgrades, or pilot initiatives—with funding designed to spark innovation and lasting community impact. View Full Grant Details",Ongoing,"$10,000","$100,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community/Economic Development; Faith Based; Food & Nutrition; Health & Medical; Housing; Income Security & Social Services; Mental Health; Municipalities; Non-Profit Support Services; Social Justice; Sports & Recreation; Youth/Out-of-School Youth; Municipalities; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community/Economic Development; Faith Based; Food & Nutrition; Health & Medical; Housing; Income Security & Social Services; Mental Health; Municipalities; Non-Profit Support Services; Social Justice; Sports & Recreation; Youth/Out-of-School Youth; Municipalities; Native American Tribal Organizations (Federally recognized); Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74093/grants-for-community-led-innovation-and-early-stage-projects?page=3,The Grant Portal,2025-10-04T17:46:03.453765
Grant to Expand Education Access Within Communities in Ontario (Canada),"View Full Grant Details A unique grant opportunity offers full upfront funding for tuition, books, and essential program supplies for students enrolled in priority post-secondary programs located in underserved regions of Ontario. In exchange, recipients commit to working in the same region where they studied for a minimum of six months per funded year. This funding is designed to address critical labor shortages, primarily in healthcare fields such as nursing, medical laboratory technology, and paramedicine. It’s particularly aimed at institutions serving communities in Northern, Eastern, and Southwestern Ontario. The goal is to strengthen regional healthcare services and support local workforce development. The program is open to eligible full-time students who are residents of Ontario and identify as Canadian citizens, permanent residents, or protected persons. Applicants must be currently in or entering the first or second year of an eligible program at a participating institution. International students are not eligible, and those receiving overlapping government funding (e.g., BEGIN, Better Jobs Ontario) may be excluded. Funding is renewable annually for each year of study—students must reapply before the end of each academic cycle. Award totals cover direct educational expenses, typically ranging from approximately CAD 5,000 to higher, depending on the tuition and associated costs of the specific program. Non‑educational expenses like living costs or travel are not included, though applicants may also apply for OSAP assistance if needed. View Full Grant Details",Ongoing,,Open,Community Development & Services; Education; Financial Assistance; Individual; Other; Students; Individuals,Community Development & Services; Education; Financial Assistance; Individual; Other; Students; Individuals,https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74062/grant-to-expand-education-access-within-communities?page=4,The Grant Portal,2025-10-04T17:46:11.725947
Narrative and Visual Arts Grant for Independent Creators in Ontario (Canada),"View Full Grant Details A yearly funding opportunity is available for individuals involved in creative and documentary work. The support is intended for those developing visual projects that explore real-life stories or perspectives. This opportunity is open to applicants from various locations, including all areas within the United States, as well as internationally. The funding is not limited to any one region, allowing for a wide range of applicants. The support is geared toward individuals rather than formal organizations or businesses. It aims to assist with expenses related to the development or continuation of storytelling projects. The use of funds may include production needs, travel, or other elements essential to the creation process. It is not designed for formal exhibitions or commercial uses but rather for ongoing or early-stage projects that reflect thoughtful, documentary-style approaches. Two levels of funding are available. Selected individuals may receive support in the amount of either $5,000 or $10,000, depending on the nature of the work and other factors considered during the review process. There is no requirement for a completed project; those at the beginning stages or in progress are eligible to apply. This opportunity is intended to recognize and uplift creative voices whose work may not always receive traditional support. While experience in creative fields may be helpful, the selection process values depth, originality, and purpose. The intent is to provide a platform for meaningful projects that offer fresh perspectives and contribute to a broader understanding of the human experience. This funding cycle occurs once a year and offers a chance for applicants to receive direct support to continue or begin important creative work. View Full Grant Details",Ongoing,"$5,000","$10,000","Arts, Culture, History & Humanities; Community Development & Services; Non-Profit Support Services; Women; Individuals","Arts, Culture, History & Humanities; Community Development & Services; Non-Profit Support Services; Women; Individuals",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74056/narrative-and-visual-arts-grant-for-independent-creators?page=4,The Grant Portal,2025-10-04T17:46:16.930506
Grant for Home Service Business Growth & Community Impact in Ontario (Canada),"View Full Grant Details This initiative offers financial support to individuals and companies excelling in various aspects of home services. Whether you're a seasoned entrepreneur or just starting out, this program is designed to recognize and assist those making significant contributions to their field. Eligible participants include small business owners and entrepreneurs across the home services sector. The application process is straightforward, allowing applicants to showcase their achievements and aspirations. Recipients have the flexibility to utilize the funds to advance their business objectives, whether it's upgrading equipment, expanding services, or investing in marketing efforts. The goal is to empower businesses to grow and continue their positive influence in the community. This program not only provides financial assistance but also highlights the importance of excellence in home services. It's an excellent opportunity for professionals dedicated to delivering quality service and fostering community development. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grant. View Full Grant Details",Ongoing,"$10,000","$10,000","Business & Commerce; Community Development & Services; Community/Economic Development; Employment, Labor & Training Workforce; Financial Assistance; Individual; Small Business; Technology; Individuals; Small Businesses","Business & Commerce; Community Development & Services; Community/Economic Development; Employment, Labor & Training Workforce; Financial Assistance; Individual; Small Business; Technology; Individuals; Small Businesses",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/74034/grant-for-home-service-business-growth-community-impact?page=4,The Grant Portal,2025-10-04T17:46:22.531269
Healthcare Grants for Nonprofits and Institutions in Ontario (Canada),"View Full Grant Details A well-established healthcare organization offers grant opportunities to support projects that aim to improve health outcomes and advance medical knowledge. These grants are designed to fund initiatives such as education, research, and quality improvement efforts that address important gaps in healthcare. The funding is intended to help organizations develop and implement programs that can make a meaningful impact on patient care. The grants are generally available to nonprofit organizations, healthcare institutions, academic entities, and other groups involved in health-related work. Individual applicants and small businesses typically do not qualify. While the program is open to applicants in various regions, there may be some geographic restrictions depending on the specific opportunity. Grant amounts vary but can range from moderate to substantial funding levels, often around $100,000 or more, depending on the scope and goals of the proposed project. The funds are meant to support all aspects of the project, including planning, execution, and evaluation. The areas of interest for these grants tend to be broad and may include chronic diseases, patient safety, health equity, and other pressing healthcare challenges. Organizations are invited to submit proposals based on periodically released calls for applications, which highlight current priorities and areas of unmet need. Applicants should watch for announcements regarding deadlines and detailed application instructions. These grants provide a valuable chance for eligible organizations to contribute to improving healthcare practices and outcomes through innovative and independent initiatives. View Full Grant Details",Ongoing,$1,"$500,000","Business & Commerce; Health & Medical; Higher Education; Non-Profit Support Services; Other; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; Public and State controlled institutions of higher education","Business & Commerce; Health & Medical; Higher Education; Non-Profit Support Services; Other; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education; Private institutions of higher education; Public and State controlled institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73978/healthcare-grants-for-nonprofits-and-institutions?page=4,The Grant Portal,2025-10-04T17:46:28.314671
Grant to Support Turtle Conservation and Research Initiatives in Ontario (Canada),"View Full Grant Details Offers a grant program dedicated to supporting conservation and research initiatives focused on highly endangered tortoises and freshwater turtles. This program is open to both nonprofit organizations and individuals globally, with a particular emphasis on projects that address species listed as Critically Endangered or Endangered by the IUCN Red List, or those that may be highly threatened but not yet officially classified. Grants typically range from $1,000 to $5,000 and are intended to cover direct expenses related to research and conservation activities. Does not provide funding for indirect organizational overhead expenses. Priority is given to projects that demonstrate potential for significant impact on turtle conservation, including pilot initiatives and those led by emerging conservationists from developing nations. Application deadlines are June 1 and December 1 annually, and award determinations approximately on August 15 and February 15, respectively. This funding opportunity aims to support initiatives that contribute to the long-term survival of tortoises and freshwater turtles, ensuring that no species becomes extinct and that sustainable populations persist in the wild. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grant. View Full Grant Details",Ongoing,"$3,000","$5,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Environment; Non-Profit Support Services; Pets/Animals/Wildlife; Refugee/Immigrant; Research & Evaluation; Women; Associations; Individuals; Non-Profit Organizations with 501(c)(3) designation","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Environment; Non-Profit Support Services; Pets/Animals/Wildlife; Refugee/Immigrant; Research & Evaluation; Women; Associations; Individuals; Non-Profit Organizations with 501(c)(3) designation",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73949/grant-to-support-turtle-conservation-and-research-initiatives?page=4,The Grant Portal,2025-10-04T17:46:35.185296
Funding for Youth Well-Being in Underserved Communities in Ontario (Canada),"View Full Grant Details This funding opportunity originates from a Canadian-based global health organization dedicated to catalyzing innovative solutions in under-resourced regions. The current call supports mental health promotion and prevention programs targeting underserved youth aged 10 to 24 across selected countries in South America, Africa, Asia, and Europe. It emphasizes bold, youth-focused approaches to address the early drivers of mental well-being in contexts where systemic barriers exist. Funding is available through two tiers: a **Proof-of-Concept grant** of up to **CAD 250,000** over 12–24 months for early-stage pilots, and a larger **Transition-to-Scale grant** ranging from **CAD 300,000 to CAD 1.5 million** over a similar duration for initiatives demonstrating strong potential for sustainable scaling. These grants are offered to legally registered nonprofit organizations operating within priority countries, with preference given to youth-led entities. The initiative supports a broad range of activities, including community-based interventions, peer support models, digital tools, mentorship networks, and environmental or structural enhancements that foster mental well-being. Applicants are encouraged to incorporate lived experience insights and culturally-rooted practices. Scalable design and sustainable impact are central interests across both grant tiers. Applicants must demonstrate legal incorporation, active presence in one of the 12 priority countries, and the capacity to manage international funding. The application process is hosted through an online portal; Proof-of-Concept and Transition-to-Scale have shared deadlines, with submissions due in late June. The Transition-to-Scale cohort is reviewed on a rolling basis through November. Grants are offered through a competitive and structured process, with an initial screening stage followed by invitation-only full proposals for scale funding. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grants. View Full Grant Details",Ongoing,"$2,500","$250,000","Community Development & Services; Health & Medical; Mental Health; Non-Profit Support Services; Other; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","Community Development & Services; Health & Medical; Mental Health; Non-Profit Support Services; Other; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73943/funding-for-youth-well-being-in-underserved-communities?page=4,The Grant Portal,2025-10-04T17:46:41.307632
Grant to Support Economic Well-Being of Children and Youth in Ontario (Canada),"View Full Grant Details This opportunity offers funding to support community-driven pilot projects focused on enhancing the well-being of caregivers and families in select regions. Designed to foster innovation in program development and strategic planning, the initiative targets groups rooted in lived experience who aim to address systemic challenges through early-stage projects or research. Funding is available to a broad range of organizations, including small nonprofits, unincorporated community collectives, academic institutions, and public-sector entities. Small businesses and spin-off ventures may participate if partnered with a lead organization. The focus is on equity and inclusion, particularly in communities that face social or geographic marginalization. Eligible activities may include exploratory research into community needs, design and facilitation of peer-support models, pilot programming to test culturally relevant interventions, and strategic planning efforts aimed at scaling impact. The initiative encourages the use of funds for personnel, materials, facilitation, culturally grounded practices, and evaluation efforts that inform long-term planning. Projects should be tailored to local contexts and reflect the demographics and experiences of those being served. Grant awards are structured to offer multi-year support, with annual funding available for up to three consecutive years. Grant amounts are intended to cover a significant portion of project costs and may scale according to project scope, with opportunities for renewal based on performance and continued need. The program operates on an annual cycle, with an initial intake process leading to invitations for full proposals from selected applicants. Awards are granted each year, pending availability and alignment with program priorities. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grants. View Full Grant Details",Ongoing,"$100,000","$100,000","Community Development & Services; Community/Economic Development; Non-Profit Support Services; Other; Quality of Life; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","Community Development & Services; Community/Economic Development; Non-Profit Support Services; Other; Quality of Life; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73941/grant-to-support-economic-well-being-of-children-and-youth?page=4,The Grant Portal,2025-10-04T17:46:47.292948
Funding for Programs that Empower and Support Youth in Ontario (Canada),"View Full Grant Details This funding opportunity offers multi-year support to collaborative teams within a Canadian province aiming to transform service systems that impact youth and families. Designed for regions where Indigenous, Black, and equity-deserving communities experience systemic barriers, the initiative focuses on improving areas such as education, justice, child welfare, cultural services, employment, housing, and health systems. It is structured to enable systemic solutions rather than isolated projects. Eligible applicants include nonprofit organizations, Indigenous governance bodies, or coalitions led by youth-serving groups. Both established agencies and informal networks can participate, provided they demonstrate shared leadership, community engagement, and commitment to addressing structural inequities. Small businesses are not directly eligible, but partnerships involving private-sector expertise may be acceptable if led by nonprofit or Indigenous governance entities. The intent of the funds is to support collaborative planning, capacity building, systems analysis, policy co-development, and youth-engaged redesign of legacy service delivery frameworks. The initiative encourages activities such as mapping service gaps, integrating voice of lived experience in systems change, testing promising practices, and establishing new coordination processes or governance models that advance equity. Grants are offered at up to $250,000 per year, with projects running from two to five years, depending on scope and anticipated impact. Total funding can range from $500,000 to $1.25 million per collaborative endeavor. Awards are distributed annually through a structured intake process that includes an initial expression of interest followed by full proposals. This opportunity is part of an annual funding cycle and supports scalable initiatives that drive enduring change in how youth-serving systems operate within regions of high need. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grants. View Full Grant Details",Ongoing,"$2,500","$250,000","Black, Indigenous, People of Color; Community Development & Services; Non-Profit Support Services; Other; Youth/Out-of-School Youth; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","Black, Indigenous, People of Color; Community Development & Services; Non-Profit Support Services; Other; Youth/Out-of-School Youth; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73939/funding-for-programs-that-empower-and-support-youth?page=4,The Grant Portal,2025-10-04T17:46:53.004001
Grant for Indigenous Community Empowerment and Self-Determination in Ontario (Canada),"View Full Grant Details This grant program offers substantial support to Indigenous-led organizations across North America, including the U.S., Canada, Mexico, and related Island Nations. The initiative focuses on empowering communities to exercise self-determination by fostering collective Indigenous power. The funding is intended to support efforts that aim to defend, develop, and decolonize Indigenous peoples and their lands, with a particular emphasis on addressing climate change and ensuring justice for Indigenous communities. Eligible applicants include Tribal Nations and their nonprofit entities or programs, as well as First Nations, Inuit, and Métis communities. Indigenous-led organizations, encompassing nonprofits and businesses, are also encouraged to apply. The grant is designed to provide flexible, multi-year funding to support a range of activities, including general operating costs, capacity building, and specific projects that align with the program's objectives. The program offers annual awards of up to $250,000, with grant terms extending up to two years. The next application cycle is scheduled to open in 2026. While the open call for new applicants is not available in 2025, the organization will continue to offer power-building resources and support to current and previous grantee-partners. For more information on eligibility and application procedures, interested parties are encouraged to visit the grant's official webpage and sign up for the organization's newsletter to stay informed about future opportunities. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grants. View Full Grant Details",Ongoing,"$2,500","$250,000","Black, Indigenous, People of Color; Climate Change; Community Development & Services; Non-Profit Support Services; Other; Regional Development; Social Justice; Native American Tribal Organizations (Federally recognized); Native American Tribal Organizations (other than Federally recognized tribal governments); Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","Black, Indigenous, People of Color; Climate Change; Community Development & Services; Non-Profit Support Services; Other; Regional Development; Social Justice; Native American Tribal Organizations (Federally recognized); Native American Tribal Organizations (other than Federally recognized tribal governments); Non-Profit Organizations with 501(c)(3) designation; Non-Profit Organizations with Fiscal Sponsor; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73936/grant-for-indigenous-community-empowerment-and-self-determination?page=4,The Grant Portal,2025-10-04T17:46:58.458053
Grants Available for Expanding Impactful Local Programs in Ontario (Canada),"View Full Grant Details A unique funding opportunity is currently available for organizations across one Canadian province that are focused on making a long-term impact in their local communities. This opportunity is designed specifically for nonprofit organizations and community-based groups with a strong track record of delivering programs or services that benefit people’s well-being. Funding is not available for individuals or for-profit businesses. Support is available for initiatives that aim to grow or adapt existing programs rather than launching brand-new ideas. Whether it’s increasing the reach of a current service, improving how it’s delivered, or adjusting it to meet changing community needs, this opportunity is well-suited for organizations with a clear vision and experience serving their communities. Funding may be used for a range of purposes, such as supporting social connections, fostering physical activity, encouraging youth development, protecting the environment, or meeting the basic needs of vulnerable populations. Grants can also support arts and culture projects that enrich the lives of residents. Priority is given to efforts that can show measurable results and long-term benefits. Eligible organizations may request funding over a multi-year period, with amounts ranging from $100,000 to $600,000 total. Grants may be spread across two to three years, with annual amounts ranging from $50,000 to $200,000, depending on the scope of the project and the capacity of the organization. This opportunity is open only to those delivering services in one specific province and is not available outside that region. Applications are accepted during a set window each year, and funding decisions are typically made on an annual basis. The goal is to build stronger, healthier communities by helping proven programs grow and evolve to meet today’s challenges. View Full Grant Details",Ongoing,"$100,000","$600,000","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Community/Economic Development; Environment; Municipalities; Non-Profit Support Services; Other; Quality of Life; Sports & Recreation; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education","Arts, Culture, History & Humanities; Black, Indigenous, People of Color; Community Development & Services; Community/Economic Development; Environment; Municipalities; Non-Profit Support Services; Other; Quality of Life; Sports & Recreation; Municipalities; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education; Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73932/grants-available-for-expanding-impactful-local-programs?page=4,The Grant Portal,2025-10-04T17:47:05.759077
Funding for Programs Aiding Low-Income Communities in Ontario (Canada),"View Full Grant Details This grant is designed to support nonprofit and community-based organizations within a Canadian province’s regional funding catchments. It aims to foster organizational resilience, enabling recipients to improve internal capacity, pilot new programs, develop strategic planning processes, and adapt digital tools or service delivery models. The intended use of funds includes staffing, resource acquisition, training, equipment, small-scale technology, travel related to project planning, and modest administrative overhead. Eligible applicants include registered charities, not-for-profit corporations, Indigenous community groups, small municipalities (under 20,000 population), and collaborative partnerships led by eligible organizations—with a minimum track record of one year. The focus is on projects that align with one of four broad service sectors: sports and recreation, arts and culture, environment, or human and social services. Grants are available to support initiatives across these thematic areas within designated geographic zones across the province. Funding awards range from CAD 10,000 to CAD 100,000 for a project term of six to twelve months. These grants are provided annually, with a defined application window each summer (e.g., July 23 to August 20, 2025). Applications undergo a competitive assessment based on community benefit, organizational readiness, project clarity, and financial need. The program typically allocates millions across hundreds of grants annually, reflecting a broad commitment to community capacity-building. This opportunity is well‑suited for local nonprofits or collectives that are preparing for scaling up, responding to emerging local needs, or developing new initiatives ready for future growth. Successful applicants may receive funding to hire staff, handle digital transformation, train volunteers, or deliver pilot community programs. To find more grants, visit The Grant Portal and use the Search Grant tool to find your next grants. View Full Grant Details",Ongoing,"$10,000","$100,000","Arts, Culture, History & Humanities; Community Development & Services; Non-Profit Support Services; Other; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education","Arts, Culture, History & Humanities; Community Development & Services; Non-Profit Support Services; Other; Non-Profit Organizations with 501(c)(3) designation; Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",https://ontario-canada.thegrantportal.com#,https://ontario-canada.thegrantportal.com/grant-details/73930/funding-for-programs-aiding-low-income-communities?page=4,The Grant Portal,2025-10-04T17:47:11.811483
